City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,smithers,54.7804,-127.1743,-14.96,96,12,0.46,CA,1670123019
337,maningrida,-12.0667,134.2667,33.63,51,74,3.4,AU,1670123020
338,llanes,43.4198,-4.7549,9.38,77,99,3.71,ES,1670123020
339,shakawe,-18.3667,21.85,21.95,27,18,1.85,BW,1670123020
340,frutal,-20.0247,-48.9406,21.77,85,100,2.41,BR,1670123020
341,kita,13.0349,-9.4895,23.66,33,58,1.51,ML,1670123021
342,karaton,-6.3424,106.1045,29.86,58,100,1.59,ID,1670123021
343,bowling green,36.9903,-86.4436,1.41,82,59,2.42,US,1670122828
344,norman wells,65.282,-126.8329,-5.41,74,100,10.65,CA,1670123021
345,marabba,12.35,32.1833,25.18,33,6,5.67,SD,1670123022
346,illapel,-31.6308,-71.1653,19.51,54,0,0.72,CL,1670123022
347,warrington,53.3925,-2.5802,4.37,92,53,3.23,GB,1670123022
348,chimbote,-9.0853,-78.5783,18.62,87,13,3.21,PE,1670123022
349,kangaatsiaq,68.3065,-53.4641,-4.73,93,100,5.33,GL,1670123023
350,araouane,18.9048,-3.5265,23.19,18,89,4.86,ML,1670123023
351,contepec,20.0167,-100.1167,10.73,84,17,3.69,MX,1670123023
352,bokoro,12.3807,17.0568,24.26,24,100,4.71,TD,1670123023
353,shubarshi,48.5872,57.1869,-13.68,71,5,5.34,KZ,1670123023
354,jibuti,11.5,42.5,19.57,82,24,4.75,DJ,1670123024
355,skibbereen,51.55,-9.2667,6.73,84,100,4.99,IE,1670123024
356,montepuez,-13.1256,38.9997,19.92,95,13,1.7,MZ,1670123024
357,vanimo,-2.6741,141.3028,25.25,91,100,3.52,PG,1670123024
358,madras,13.0878,80.2785,26.99,89,75,2.06,IN,1670122942
359,severo-kurilsk,50.6789,156.125,1.57,87,73,7.78,RU,1670123025
360,bambous virieux,-20.3428,57.7575,24.56,72,21,4.29,MU,1670123025
